sequence_id,label,severity,mode,fingers,landmark_indices,start_frame_offset,end_frame_offset_exclusive,sequence_length,noise_std_scale,mean_affected_displacement,max_affected_displacement,seed
425e947b303e,deer_horn,medium,freeze,thumb,2;3;4,35,72,121,0.05,0.33573576694581664,0.8092448586655291,42
9b6d6e12541f,deer_horn,medium,collapse,ring,14;15;16,24,63,128,0.05,0.3364488055745348,0.6330904666860913,42
088859eb0563,deer_horn,medium,drift,ring,14;15;16,69,102,108,0.05,0.2993704058412212,0.5896310752630842,42
db39c266a790,deer_horn,medium,drift,thumb,2;3;4,33,68,114,0.05,0.31758501963247737,0.7840660738144092,42
a727998a1b7d,orchid_palm,medium,collapse,middle,10;11;12,1,25,77,0.05,0.902320109466136,1.479524508347149,42
d2ada17068ed,orchid_palm,medium,collapse,ring,14;15;16,3,15,40,0.05,0.8251334150406332,1.2320082425512844,42
55f3899121d9,orchid_palm,medium,freeze,pinky,18;19;20,10,22,40,0.05,0.48417165882511704,0.8506002061145954,42
1d0e62a6a7aa,orchid_palm,medium,freeze,thumb,2;3;4,23,34,36,0.05,0.36018812324017346,0.7606707655920678,42
b76d223875b9,orchid_palm,medium,drift,thumb,2;3;4,26,43,56,0.05,0.253884875277286,0.45711158221987164,42
6f511b9bd1e6,orchid_palm,medium,drift,pinky,18;19;20,21,32,35,0.05,0.33974589337565136,0.87982277089308,42
80d5a563981a,orchid_palm,medium,drift,index,6;7;8,4,10,19,0.05,0.2361598417083886,0.6533174897060449,42
8764065ac663,orchid_palm,medium,collapse,pinky,18;19;20,13,27,44,0.05,0.6857098590956543,1.0620227846521162,42
4db7f3db8142,orchid_palm,medium,collapse,pinky,18;19;20,1,11,31,0.05,0.3951393438684042,0.7391965395724349,42
d34423f0890a,orchid_palm,medium,drift,index,6;7;8,14,31,56,0.05,0.26627101470316666,0.4785237457171185,42
99ec30476f59,orchid_palm,medium,freeze,pinky,18;19;20,22,35,41,0.05,0.1726472674867262,0.3800686585109705,42
37a21bbfb2e1,orchid_palm,medium,freeze,middle,10;11;12,15,26,35,0.05,0.12333263687861876,0.2716904007063289,42
dafc6d4beae7,orchid_palm,medium,collapse,middle,10;11;12,9,14,15,0.05,0.7452860464460119,0.9937203292463818,42
b14f304bea6c,orchid_palm,medium,collapse,pinky,18;19;20,6,15,27,0.05,0.23481677753910446,0.38657923952189266,42
59e5f0ad43d1,orchid_palm,medium,drift,ring,14;15;16,8,18,32,0.05,0.14516119504376254,0.27273893603125887,42
8434590289cd,orchid_palm,medium,freeze,index,6;7;8,3,9,19,0.05,0.08023632639861768,0.14302032767503653,42
00d53103d2db,orchid_palm,medium,drift,middle,10;11;12,20,31,35,0.05,0.28752896092902486,0.6111472577427365,42
d7d0deef648a,orchid_palm,medium,drift,ring,14;15;16,12,23,36,0.05,0.08306404587902612,0.18541970291487733,42
da1ffae5f0a2,orchid_palm,medium,freeze,middle,10;11;12,8,20,39,0.05,0.10103602868803269,0.19439266090902094,42
28d14f2d48f6,orchid_palm,medium,drift,ring,14;15;16,2,27,83,0.05,0.17780696433442045,0.3060028970842335,42
36f8da0a0c37,orchid_palm,medium,drift,middle,10;11;12,35,61,85,0.05,0.29907998323105944,0.6212505851112942,42
102f03365f11,orchid_palm,medium,collapse,index,6;7;8,21,48,88,0.05,0.7873612751301372,1.5237411398902119,42
55bf340eadd0,orchid_palm,medium,collapse,middle,10;11;12,3,9,18,0.05,0.6723134991147807,0.904706541321747,42
196af66c4870,orchid_palm,medium,collapse,pinky,18;19;20,13,19,19,0.05,0.6300165280449277,0.8869317831203373,42
656bdfd0170d,orchid_palm,medium,drift,middle,10;11;12,3,11,26,0.05,0.10887287155693122,0.2420650526287636,42
e641f135d028,orchid_palm,medium,collapse,pinky,18;19;20,3,14,35,0.05,0.49415470894972063,0.7029988347659667,42
5bee273a53c9,orchid_palm,medium,drift,ring,14;15;16,17,25,26,0.05,0.09393152265657534,0.1758757841564598,42
90f1a984a449,orchid_palm,medium,freeze,ring,14;15;16,5,10,16,0.05,0.09441021737164906,0.15794116048120693,42
71544165422a,orchid_palm,medium,freeze,ring,14;15;16,9,15,20,0.05,0.08526506193291253,0.13791116110717094,42
10669b510bec,orchid_palm,medium,drift,thumb,2;3;4,5,14,27,0.05,0.10792889230614515,0.24030433721274938,42
597539acae4b,orchid_palm,medium,freeze,index,6;7;8,0,15,48,0.05,0.11982953652701164,0.2846057399159952,42
0e8fb1328a81,orchid_palm,medium,drift,ring,14;15;16,1,17,51,0.05,0.43557334035212714,0.9849579058735727,42
4597aaed3875,deer_horn,medium,drift,thumb,2;3;4,0,15,48,0.05,0.6869793235716665,1.21201941945275,42
e705d6b681c2,deer_horn,medium,collapse,pinky,18;19;20,9,21,38,0.05,0.5204194914239919,0.8386803525565668,42
2d237e4a1d0b,deer_horn,medium,collapse,thumb,2;3;4,32,49,55,0.05,0.4376623628298287,0.6500797501330255,42
825618fb225f,deer_horn,medium,drift,pinky,18;19;20,32,46,46,0.05,0.6464801012895001,1.5761358483449557,42
52f13c73e616,deer_horn,medium,freeze,pinky,18;19;20,14,24,33,0.05,0.21507074378629423,0.46456731844148624,42
a3c7fe048c12,deer_horn,medium,freeze,pinky,18;19;20,14,21,23,0.05,0.26215517188358983,0.46145770153937155,42
99315e5eaef4,deer_horn,medium,drift,index,6;7;8,6,15,27,0.05,0.13581467252520196,0.2516413512020335,42
0811126d80b5,deer_horn,medium,collapse,thumb,2;3;4,4,16,39,0.05,0.372197606183749,0.5599929686925903,42
cf4a676b5324,deer_horn,medium,collapse,pinky,18;19;20,7,14,23,0.05,0.650183419003651,0.9686241916299302,42
56c88f568131,deer_horn,medium,freeze,index,6;7;8,1,10,29,0.05,0.1275069105149419,0.2151637682080521,42
505452b22e06,deer_horn,medium,drift,middle,10;11;12,10,17,21,0.05,0.2945087127173649,0.46292123690081405,42
98c96afd8e2f,deer_horn,medium,drift,index,6;7;8,7,11,13,0.05,1.5022358916122525,2.0204178874306056,42
38d177749246,deer_horn,medium,drift,pinky,18;19;20,17,28,34,0.05,0.44444826577050883,0.6458418480540904,42
7a42a86413ee,deer_horn,medium,freeze,pinky,18;19;20,2,9,21,0.05,0.19042644325876798,0.4008348257170892,42
68039669c7b8,deer_horn,medium,collapse,middle,10;11;12,13,24,35,0.05,0.4298600310208696,0.6036547337534677,42
284106f49a48,deer_horn,medium,collapse,index,6;7;8,5,18,42,0.05,0.8291839274637095,1.2865973495004073,42
666d9ac2dedb,deer_horn,medium,collapse,thumb,2;3;4,16,25,29,0.05,0.35055753970262843,0.5572943627079734,42
dd7fb6f24a48,deer_horn,medium,collapse,index,6;7;8,12,22,33,0.05,0.8197810416686647,1.1154282035462524,42
4d93d544e72c,deer_horn,medium,freeze,index,6;7;8,10,21,35,0.05,0.23526657369683915,0.3742148424707012,42
8499016c001a,deer_horn,medium,freeze,ring,14;15;16,16,28,37,0.05,1.2612522117031406,2.509377835655639,42
e35dc6af27b7,deer_horn,medium,drift,index,6;7;8,1,12,34,0.05,0.25274176386603664,0.5825116820293447,42
b16eed4c076d,deer_horn,medium,freeze,index,6;7;8,20,30,33,0.05,0.17533033540995557,0.2944967499023455,42
938c6a0d1043,deer_horn,medium,freeze,thumb,2;3;4,12,18,19,0.05,0.13911561286810262,0.3050717117787312,42
3fe08dead7c2,deer_horn,medium,freeze,middle,10;11;12,17,26,27,0.05,0.2716005626511644,0.5757779837875505,42
8f5e5a691461,three_finger_bent,medium,collapse,middle,10;11;12,17,27,31,0.05,0.6933129559958536,0.8389099502450695,42
22258c77b24a,three_finger_bent,medium,drift,ring,14;15;16,21,32,36,0.05,0.4323775537644813,0.9529357486977547,42
ed4fbd3e4769,three_finger_bent,medium,drift,ring,14;15;16,0,12,39,0.05,0.46754373939880595,0.9121610931427409,42
0d850ed38621,three_finger_bent,medium,freeze,pinky,18;19;20,3,14,35,0.05,0.2064585989872122,0.47127569860527757,42
a6deadfbe02c,three_finger_bent,medium,drift,thumb,2;3;4,20,37,56,0.05,0.5342462004552643,0.7977844923761175,42
167a4c6fc138,three_finger_bent,medium,collapse,thumb,2;3;4,13,21,25,0.05,0.9844899160367421,1.2398318715870997,42
a4d892c9d4e3,three_finger_bent,medium,freeze,middle,10;11;12,10,16,20,0.05,1.0068071271887382,1.587091380558917,42
9a918862c434,three_finger_bent,medium,freeze,middle,10;11;12,1,10,28,0.05,0.30089793010117016,0.46953541807182825,42
4b90985a0dca,three_finger_bent,medium,collapse,index,6;7;8,9,16,22,0.05,0.854880300571823,1.0186111312811637,42
ff214b889ee0,three_finger_bent,medium,drift,index,6;7;8,14,22,25,0.05,0.2889623656941775,0.8041858807427579,42
8b6e948c5446,three_finger_bent,medium,collapse,index,6;7;8,10,21,36,0.05,0.41985757509040056,0.6299936015778744,42
b301d3628cb7,three_finger_bent,medium,drift,middle,10;11;12,21,36,49,0.05,0.7335263007487366,2.1141096302108124,42
f1c7f228cedd,three_finger_bent,medium,drift,ring,14;15;16,18,29,34,0.05,0.4801273311542462,0.9719391025789506,42
803d6f1912f1,three_finger_bent,medium,drift,pinky,18;19;20,5,14,27,0.05,0.7970310437174054,1.6021739466924034,42
c7c202c809f7,three_finger_bent,medium,collapse,ring,14;15;16,11,29,60,0.05,1.0414373704005688,1.4363822874738839,42
f35e0605c235,three_finger_bent,medium,freeze,index,6;7;8,8,15,23,0.05,0.2921139383334533,0.4322329011224762,42
7597358efd8b,three_finger_bent,medium,drift,pinky,18;19;20,8,17,29,0.05,0.1793949806632767,0.37005825447169444,42
15b1b2a699ed,three_finger_bent,medium,collapse,middle,10;11;12,4,13,30,0.05,0.6323148561477067,0.8251792937935903,42
7c395fd3b721,three_finger_bent,medium,collapse,middle,10;11;12,16,24,26,0.05,0.8474314990397307,1.1476715669181272,42
d78701c28f85,three_finger_bent,medium,freeze,ring,14;15;16,7,14,21,0.05,0.20852950639972154,0.5000383849970683,42
abd14da8ffc3,three_finger_bent,medium,collapse,middle,10;11;12,12,22,33,0.05,0.7500878907480035,0.9323261937572216,42
9f965c57a01a,orchid_finger,medium,collapse,thumb,2;3;4,12,25,42,0.05,0.44384544455821884,0.7064720831456867,42
e02d0ba05950,orchid_finger,medium,collapse,index,6;7;8,9,18,30,0.05,0.9501594350929007,1.3070799851855224,42
7d00828615b5,orchid_finger,medium,freeze,index,6;7;8,6,14,25,0.05,0.205182871863239,0.49554304551246053,42
a608ba06813c,orchid_finger,medium,collapse,thumb,2;3;4,5,20,49,0.05,0.41412963361942146,0.546830273769972,42
4a1b0f7cb862,orchid_finger,medium,collapse,pinky,18;19;20,11,23,38,0.05,0.5515908500033088,0.7635148023261803,42
8f332720276f,orchid_finger,medium,collapse,ring,14;15;16,7,18,36,0.05,0.5068051154106579,0.6947033084850567,42
33bda61ed38a,orchid_finger,medium,collapse,middle,10;11;12,27,42,48,0.05,0.8364079904542859,1.2383595617646483,42
f43069368ec6,orchid_finger,medium,drift,index,6;7;8,27,40,42,0.05,0.08184640702072447,0.16984941025431072,42
e477493e71b7,orchid_finger,medium,freeze,index,6;7;8,29,43,44,0.05,0.15872392294516613,0.3349956670570492,42
422b75765199,orchid_finger,medium,collapse,ring,14;15;16,0,13,41,0.05,0.4447471792553573,0.9869683390380022,42
02031cd71838,orchid_finger,medium,collapse,middle,10;11;12,21,31,32,0.05,0.5276950765170055,0.6720951651151423,42
af21c5f117be,orchid_finger,medium,collapse,pinky,18;19;20,19,29,33,0.05,0.4232776879387546,0.6007736380395076,42
80cc5ff63e7e,orchid_finger,medium,freeze,pinky,18;19;20,23,34,34,0.05,0.4851778499958792,0.703301653666803,42
b08d555f834e,orchid_finger,medium,drift,thumb,2;3;4,13,25,38,0.05,0.36962800162645054,0.7317834238510273,42
918262be397a,orchid_finger,medium,drift,middle,10;11;12,16,27,35,0.05,0.38967681065410975,0.7231865241121833,42
e383fe6f8e3c,orchid_finger,medium,freeze,pinky,18;19;20,26,40,45,0.05,0.21981859394606446,0.4610298903456363,42
b805d106eb4c,orchid_finger,medium,drift,pinky,18;19;20,28,43,48,0.05,0.2583414585817536,0.46242150904469626,42
7d5fc5144077,orchid_finger,medium,collapse,index,6;7;8,17,28,35,0.05,0.8333422429081917,1.2381435644904426,42
475b632197d9,orchid_finger,medium,drift,pinky,18;19;20,22,35,43,0.05,0.2858863757390281,0.4513962900115886,42
010a5011bcfd,orchid_finger,medium,freeze,pinky,18;19;20,21,33,39,0.05,0.5807360819399039,0.9923609695774493,42
9200d2d93b19,flower_pinch,medium,freeze,ring,14;15;16,47,69,72,0.05,0.12793461023762867,0.3059363163261023,42
db70aea60cf4,flower_pinch,medium,collapse,thumb,2;3;4,17,25,26,0.05,0.40919847971003837,0.590272174324981,42
ef78d436972e,flower_pinch,medium,collapse,index,6;7;8,27,41,46,0.05,0.7015772821018187,1.0381288173236096,42
ce5ef86c7330,flower_pinch,medium,drift,index,6;7;8,28,46,58,0.05,0.15521662830213756,0.510343254825789,42
251f6006a2a2,flower_pinch,medium,drift,pinky,18;19;20,21,30,30,0.05,0.2029489445839267,0.30114796825498,42
8e2dd6d14fff,flower_pinch,medium,collapse,index,6;7;8,7,20,41,0.05,0.8451326044221174,1.3159409444821963,42
77f3501cc038,flower_pinch,medium,drift,pinky,18;19;20,2,8,18,0.05,0.07205037537361726,0.11956602171833837,42
3d5cfe36147b,flower_pinch,medium,freeze,thumb,2;3;4,2,10,24,0.05,0.09344387192587877,0.16819232765368952,42
b84c025efb8c,flower_pinch,medium,drift,thumb,2;3;4,2,17,49,0.05,1.0777451948611172,1.693630668174721,42
5aa179718e72,flower_pinch,medium,drift,middle,10;11;12,6,17,34,0.05,0.5338441513051989,1.0427126153524986,42
b35ffddf5af4,flower_pinch,medium,freeze,thumb,2;3;4,22,32,32,0.05,0.0915263186218722,0.1861314810541689,42
6581d1c1d710,flower_pinch,medium,freeze,thumb,2;3;4,9,20,36,0.05,0.8214873305730499,1.7396705961484975,42
b4bfdcc422a4,flower_pinch,medium,collapse,index,6;7;8,10,20,33,0.05,0.6722906222763978,0.9270490995804437,42
620554bbc09a,flower_pinch,medium,drift,pinky,18;19;20,4,15,34,0.05,0.22532831650679103,0.4251090749016808,42
0e4f4ee4e14c,flower_pinch,medium,drift,index,6;7;8,1,7,18,0.05,0.10931227620255898,0.17725377919586965,42
8a61a8d620d5,flower_pinch,medium,collapse,ring,14;15;16,2,11,27,0.05,0.7293806116129501,1.0490266184399937,42
0e3e9a68b1ee,flower_pinch,medium,collapse,ring,14;15;16,8,15,23,0.05,0.7224974703591022,0.9900260312621852,42
8f36d5ebd66e,flower_pinch,medium,collapse,thumb,2;3;4,12,25,43,0.05,0.44530465036448846,0.6157657277644821,42
607f4e7c3370,flower_pinch,medium,collapse,middle,10;11;12,8,16,25,0.05,0.6023372293344189,0.9767229542937563,42
4a54ba657f5b,flower_pinch,medium,freeze,pinky,18;19;20,13,22,30,0.05,0.37150286593816095,0.7733320212602355,42
a69e7fdc59b2,flower_pinch,medium,collapse,index,6;7;8,11,20,29,0.05,0.7712560450804562,1.0905406134137834,42
223f5619f740,flower_pinch,medium,drift,ring,14;15;16,3,12,29,0.05,0.4445771823450545,1.1308460448934359,42
3b46b5044d7d,prayer_beads,medium,drift,index,6;7;8,15,25,33,0.05,0.35561282439550157,0.5504129061287532,42
f03cc7c2c2f4,prayer_beads,medium,freeze,thumb,2;3;4,25,37,37,0.05,0.6288327733845083,1.020328127574417,42
68c1be8ed843,prayer_beads,medium,drift,middle,10;11;12,8,15,23,0.05,0.128447956039017,0.1927143961159322,42
be8d1d3c90c6,prayer_beads,medium,freeze,thumb,2;3;4,11,23,39,0.05,0.5182487439580145,1.1344939724736545,42
7a8eb842e518,prayer_beads,medium,collapse,middle,10;11;12,18,27,27,0.05,0.8180504008259305,1.1290969767076435,42
fd6be5c6b2e3,prayer_beads,medium,drift,index,6;7;8,13,21,24,0.05,0.14632162686112213,0.3171731710318617,42
9b5b9fac7e73,prayer_beads,medium,freeze,thumb,2;3;4,1,11,31,0.05,0.24957284360586496,0.5316200907202787,42
239169458cfc,prayer_beads,medium,drift,pinky,18;19;20,6,20,46,0.05,1.0227658528001693,1.6710165749228576,42
0cc3fe974e06,prayer_beads,medium,collapse,index,6;7;8,13,25,38,0.05,0.7218422550744762,1.0753608841067046,42
6af5f80ea634,prayer_beads,medium,drift,index,6;7;8,14,25,35,0.05,0.1976813753661442,0.4918079521890609,42
db135c9eec51,prayer_beads,medium,drift,ring,14;15;16,2,11,27,0.05,0.20405121665826886,0.38155599836078385,42
6547058f5e6e,prayer_beads,medium,collapse,ring,14;15;16,22,32,32,0.05,0.694194549887451,1.2119026547345275,42
5b4f2bd3c6f1,prayer_beads,medium,collapse,middle,10;11;12,2,10,25,0.05,0.7879749602243068,1.236327712554728,42
09dc2f057497,prayer_beads,medium,freeze,ring,14;15;16,7,15,26,0.05,1.254892634913978,1.7898622463507443,42
5f887bd2c714,prayer_beads,medium,collapse,index,6;7;8,15,27,38,0.05,0.7034507220093504,0.9435968169848353,42
cf06bd8e63b0,prayer_beads,medium,freeze,thumb,2;3;4,24,39,48,0.05,0.28157779264536986,0.5238672607717613,42
215a4cade2a6,prayer_beads,medium,collapse,index,6;7;8,27,39,39,0.05,0.7040154710805034,0.982712358546952,42
aa1f81d624a9,prayer_beads,medium,collapse,pinky,18;19;20,18,36,59,0.05,0.5526530104879447,0.8208409840183679,42
13b760fe42f8,prayer_beads,medium,freeze,thumb,2;3;4,30,49,63,0.05,0.3667945437180934,0.6989619965277492,42
fe91df670e61,prayer_beads,medium,freeze,index,6;7;8,31,48,55,0.05,0.24021336775638985,0.4318511808587231,42
cbef34d0c133,orchid_palm,medium,collapse,thumb,2;3;4,3,6,7,0.05,0.4461675105857825,0.5954612165911357,42
6c2dcd5e9ae5,orchid_palm,medium,freeze,thumb,2;3;4,6,11,15,0.05,0.11897814107114928,0.2403933464841696,42
856427c201ac,orchid_palm,medium,collapse,thumb,2;3;4,1,10,27,0.05,0.45372365090822886,0.6793188633285527,42
07d55faaaef1,orchid_palm,medium,collapse,pinky,18;19;20,18,32,46,0.05,0.6815999577313593,1.0608492368093065,42
852124b36f11,orchid_palm,medium,drift,ring,14;15;16,4,17,41,0.05,0.22674124045280303,0.46825882253947404,42
e6caf1c42e89,orchid_palm,medium,freeze,index,6;7;8,2,12,32,0.05,0.19656365091768963,0.6676858885289113,42
7570179303af,orchid_palm,medium,collapse,thumb,2;3;4,23,34,34,0.05,0.5381577897633443,0.7371458618935235,42
8cdafa911e69,orchid_palm,medium,drift,middle,10;11;12,19,29,31,0.05,0.35069384719027646,0.6975343259269668,42
ab3d7a2c11b4,orchid_palm,medium,freeze,thumb,2;3;4,3,19,52,0.05,0.41143654876279445,0.7810590013999523,42
e2dfbd47d619,orchid_palm,medium,drift,thumb,2;3;4,12,22,32,0.05,0.17691959788976522,0.39124033236692385,42
96fc17d19424,orchid_palm,medium,freeze,middle,10;11;12,9,18,29,0.05,0.6079397671515869,1.3802252713350003,42
0e3664e2254e,orchid_palm,medium,collapse,pinky,18;19;20,9,19,33,0.05,0.6025464022216492,0.9250256325639682,42
885e68b19437,orchid_palm,medium,freeze,index,6;7;8,7,17,32,0.05,0.3930925591078444,0.8730068861710387,42
4fae75bc215d,orchid_palm,medium,collapse,ring,14;15;16,12,21,28,0.05,0.7129854348041884,1.0022573829718124,42
e1fc3dd80451,orchid_palm,medium,drift,index,6;7;8,8,20,37,0.05,0.561116662904073,0.8328205777702502,42
24335f186a87,orchid_palm,medium,collapse,thumb,2;3;4,19,28,29,0.05,0.34989990463828974,0.5920705623606711,42
2c611fe52599,orchid_palm,medium,collapse,middle,10;11;12,7,16,27,0.05,0.8370458311326401,1.35888422673134,42
f9c70a8fc4e4,orchid_palm,medium,freeze,ring,14;15;16,10,22,38,0.05,0.14981218315434452,0.3250458591382615,42
b1f351513f50,orchid_palm,medium,collapse,pinky,18;19;20,0,13,43,0.05,0.534365720375566,0.8738613543267861,42
1bdd3f18777d,orchid_palm,medium,drift,middle,10;11;12,10,20,31,0.05,0.5830668783110654,1.0119684691224942,42
224a51a1dd12,orchid_palm,medium,drift,pinky,18;19;20,15,25,32,0.05,0.29621628032778946,0.5239494440673572,42
81ad1a9e78fa,orchid_palm,medium,collapse,ring,14;15;16,16,27,36,0.05,0.7405079775028773,1.014925066075319,42
8fd89d0ace39,orchid_palm,medium,freeze,index,6;7;8,15,26,35,0.05,0.3251551324625265,0.789624878374746,42
1cabad167392,orchid_palm,medium,drift,index,6;7;8,20,36,51,0.05,0.16312935019584762,0.332607748395719,42
a3f39e62654a,orchid_palm,medium,freeze,ring,14;15;16,21,31,32,0.05,0.15010678938232855,0.30031618108205577,42
14b9a0194276,orchid_palm,medium,freeze,index,6;7;8,1,10,29,0.05,1.526584004135886,2.8174976340125255,42
ee8be4262526,orchid_palm,medium,freeze,middle,10;11;12,14,23,27,0.05,0.3416580289246067,0.760973976568619,42
cdb921f24eb1,orchid_palm,medium,drift,index,6;7;8,2,11,28,0.05,0.7014967437058681,1.2653905618409476,42
db9729894815,orchid_palm,medium,freeze,middle,10;11;12,11,22,36,0.05,0.2655745091310958,0.6849539329336335,42
