sequence_id,label,split
4a54ba657f5b,flower_pinch,development
4a6c95ae95b0,prayer_beads,development
4a71d94f6047,three_finger_bent,development
4b2088a7f4bc,flower_pinch,development
4b6d928951b9,three_finger_bent,development
4b7e191007f4,flower_pinch,development
4b90985a0dca,three_finger_bent,development
4d93d544e72c,deer_horn,development
4db7f3db8142,orchid_palm,development
4e5c051aa222,prayer_beads,development
4e8175d00fb4,orchid_palm,development
4e949007e0e5,orchid_palm,development
4f1e2ed0c7db,prayer_beads,development
4fae75bc215d,orchid_palm,development
505452b22e06,deer_horn,development
50d5b45a64e5,three_finger_bent,development
5267becf7c76,orchid_finger,development
538ec863bb75,deer_horn,development
539a413b384f,flower_pinch,development
553c0b19a4f6,orchid_finger,development
55bf340eadd0,orchid_palm,development
55eefdffd49d,three_finger_bent,development
56c88f568131,deer_horn,development
56f5ccb9a473,flower_pinch,development
56fca544f99b,orchid_palm,development
57c7e4a382bd,deer_horn,development
597539acae4b,orchid_palm,development
597f99241813,flower_pinch,development
59e5f0ad43d1,orchid_palm,development
5a1568c6b575,flower_pinch,development
5a3dc528e04d,deer_horn,development
5aa179718e72,flower_pinch,development
5b21b741b1b5,orchid_finger,development
5b4f2bd3c6f1,prayer_beads,development
5ca5876b73e7,flower_pinch,development
5d7fd03c7e61,orchid_palm,development
5e4f7ed352eb,flower_pinch,development
5efb0e1b3b94,orchid_finger,development
5f887bd2c714,prayer_beads,development
607f4e7c3370,flower_pinch,development
616da5f36963,three_finger_bent,development
61f19bac48be,orchid_palm,development
620554bbc09a,flower_pinch,development
6248c818c98a,prayer_beads,development
6250536e5856,flower_pinch,development
637c182456b3,flower_pinch,development
64b8975639c4,orchid_palm,development
6530ab71aaa2,deer_horn,development
6547058f5e6e,prayer_beads,development
656bdfd0170d,orchid_palm,development
6581d1c1d710,flower_pinch,development
65a0595f435f,orchid_finger,development
65b37f058392,deer_horn,development
666d9ac2dedb,deer_horn,development
66710026bce3,prayer_beads,development
68039669c7b8,deer_horn,development
68374eb33bd8,three_finger_bent,development
699ea20fcd1b,prayer_beads,development
6af5f80ea634,prayer_beads,development
6bc2e46f83db,orchid_finger,development
6c2dcd5e9ae5,orchid_palm,development
6c2f10962256,orchid_finger,development
6c7d13236bbf,three_finger_bent,development
6d6cd1c6eba8,three_finger_bent,development
6d6e57f6c646,orchid_palm,development
6f511b9bd1e6,orchid_palm,development
6fcd597770ab,flower_pinch,development
706d6f4c2061,three_finger_bent,development
713b83443851,orchid_finger,development
71544165422a,orchid_palm,development
72a235c9218a,three_finger_bent,development
72fbde018892,deer_horn,development
743521b0f73a,orchid_finger,development
747c66adf62f,prayer_beads,development
749278a7cbec,deer_horn,development
7570179303af,orchid_palm,development
7597358efd8b,three_finger_bent,development
775602311a86,orchid_palm,development
7799cca66807,orchid_palm,development
77f3501cc038,flower_pinch,development
79aab8196fdd,deer_horn,development
7a42a86413ee,deer_horn,development
7a8eb842e518,prayer_beads,development
7b2397c1169e,orchid_finger,development
7c20efdf5db1,prayer_beads,development
7c3605d89168,prayer_beads,development
7c395fd3b721,three_finger_bent,development
7c5d2a4ee66e,flower_pinch,development
7c907ad18ed9,three_finger_bent,development
7d5fc5144077,orchid_finger,development
7d660200fd8d,orchid_palm,development
7e3657292274,orchid_finger,development
7ee41d89e6c5,flower_pinch,development
7fb1cb8e0b1e,orchid_finger,development
803d6f1912f1,three_finger_bent,development
80cc5ff63e7e,orchid_finger,development
80d5a563981a,orchid_palm,development
8114698d8f25,flower_pinch,development
81614312ef6c,three_finger_bent,development
81ad1a9e78fa,orchid_palm,development
8218dec7c3bc,orchid_palm,development
825618fb225f,deer_horn,development
837ea2767e1c,flower_pinch,development
83922cc421de,deer_horn,development
83ecb8890a84,three_finger_bent,development
8434590289cd,orchid_palm,development
8499016c001a,deer_horn,development
85188dece6d4,deer_horn,development
852124b36f11,orchid_palm,development
856427c201ac,orchid_palm,development
874e30fee1df,orchid_palm,development
8764065ac663,orchid_palm,development
8791f31df0d5,three_finger_bent,development
87c78e3f003d,deer_horn,development
88d9c6914c6a,prayer_beads,development
8965bab92aa4,three_finger_bent,development
8a61a8d620d5,flower_pinch,development
8b6e948c5446,three_finger_bent,development
8c2dad0c4cfa,three_finger_bent,development
8c5bd6c3925d,flower_pinch,development
8c7c0fb1c0f0,orchid_finger,development
8d3758285d71,three_finger_bent,development
8d490e349a56,deer_horn,development
8e2dd6d14fff,flower_pinch,development
8eb1e0a2d155,deer_horn,development
8f106121fd14,flower_pinch,development
8f36d5ebd66e,flower_pinch,development
8f459030a523,orchid_palm,development
8f5918cf5741,prayer_beads,development
8f5e5a691461,three_finger_bent,development
8fa04d7b0a36,orchid_finger,development
90168382c6e9,orchid_palm,development
908215ffdcab,deer_horn,development
909ce0b40aeb,flower_pinch,development
90e40c3b645c,prayer_beads,development
918262be397a,orchid_finger,development
92135167f589,orchid_finger,development
9243f28755dc,orchid_palm,development
927d32f10adf,flower_pinch,development
92cdf10f2594,orchid_palm,development
938c6a0d1043,deer_horn,development
94336838e554,orchid_finger,development
9510f2b06a82,orchid_palm,development
95419268158b,three_finger_bent,development
96644269d5c5,orchid_palm,development
96fc17d19424,orchid_palm,development
97912d893b82,orchid_finger,development
97d5716e7da1,orchid_finger,development
9814244d256e,deer_horn,development
98559383b333,flower_pinch,development
9897660778b7,prayer_beads,development
9966bb8d58c8,flower_pinch,development
99a20727e3a0,orchid_palm,development
99ec30476f59,orchid_palm,development
9b07ae691ee2,deer_horn,development
9b0d7cac27a4,flower_pinch,development
9b5b9fac7e73,prayer_beads,development
9b6d6e12541f,deer_horn,development
9c3dce491b52,deer_horn,development
9d2ca79b7a9e,deer_horn,development
9f965c57a01a,orchid_finger,development
a0ad3bbf32c6,orchid_finger,development
a0c1252ee362,orchid_palm,development
a17401a3710a,flower_pinch,development
a1eaec3a02b4,orchid_finger,development
a27fbc906336,flower_pinch,development
a286c8c9db47,orchid_palm,development
a2d9a5ab5735,prayer_beads,development
a36973700099,orchid_finger,development
a3bbc3e5bce8,prayer_beads,development
a3c7fe048c12,deer_horn,development
a3f39e62654a,orchid_palm,development
a4a40ba1c9e1,orchid_finger,development
a4d892c9d4e3,three_finger_bent,development
a4f834da011b,flower_pinch,development
a5277b949382,three_finger_bent,development
a5fe68f14455,orchid_finger,development
a65164b9d698,flower_pinch,development
a69e7fdc59b2,flower_pinch,development
a727998a1b7d,orchid_palm,development
a7afff61595c,orchid_palm,development
a822aed127f5,flower_pinch,development
a8b6f1321bd5,orchid_finger,development
a8d03726efc2,deer_horn,development
aa1f81d624a9,prayer_beads,development
aa482e09b8bc,deer_horn,development
abbb4b03db8c,prayer_beads,development
abd14da8ffc3,three_finger_bent,development
ad75d77fe593,orchid_palm,development
aeda1bd65a82,orchid_finger,development
aedea94bab5a,prayer_beads,development
af21c5f117be,orchid_finger,development
af541dec2162,three_finger_bent,development
b08d555f834e,orchid_finger,development
b0dc5759d572,flower_pinch,development
b1043ad7a1fd,flower_pinch,development
b10fec1d468f,deer_horn,development
b16e21ec4a2f,three_finger_bent,development
b16eed4c076d,deer_horn,development
b1f351513f50,orchid_palm,development
b301d3628cb7,three_finger_bent,development
b31399221485,three_finger_bent,development
b35ffddf5af4,flower_pinch,development
b3db83d5063a,prayer_beads,development
b4bfdcc422a4,flower_pinch,development
b4f57c1e7812,prayer_beads,development
b556f11f43b2,three_finger_bent,development
b58ff0b08ce6,deer_horn,development
b5c72eee6031,orchid_palm,development
b61cb14c9598,orchid_finger,development
b6f557d08f31,flower_pinch,development
b76d223875b9,orchid_palm,development
b795f1462f25,orchid_palm,development
b7ac182a9b13,deer_horn,development
b8fc1565ebd4,prayer_beads,development
ba5410675a72,prayer_beads,development
bacc659b8a8f,prayer_beads,development
bbe485c6a5d7,orchid_palm,development
bc6a0b9f695e,deer_horn,development
bc8e537307f0,deer_horn,development
bd20f5ba0da3,orchid_palm,development
bd273b573d29,prayer_beads,development
bdbca1c9b840,flower_pinch,development
be4b7f82fc84,prayer_beads,development
be8d1d3c90c6,prayer_beads,development
bf60b395dae0,orchid_finger,development
c19dce71c849,orchid_palm,development
c23fbde4e68a,deer_horn,development
c2c1c6ba4cb1,flower_pinch,development
c445d8e9ffda,prayer_beads,development
c44d56eae143,prayer_beads,development
c450d239553d,three_finger_bent,development
c4fda800833e,deer_horn,development
c54b91205ad3,three_finger_bent,development
c55847179934,prayer_beads,development
c5b9fc9e3bb0,prayer_beads,development
c62c446c0ccf,orchid_finger,development
c6ede3201cb2,deer_horn,development
c70aba6435d2,orchid_finger,development
c719c5fab19e,orchid_finger,development
c7c202c809f7,three_finger_bent,development
c95334b741f6,orchid_finger,development
c9a5b4833267,three_finger_bent,development
c9c8314e6ee1,orchid_palm,development
ca086ba3b9cd,prayer_beads,development
cbef0ec6aba2,flower_pinch,development
cbef34d0c133,orchid_palm,development
cbfc925af7a9,prayer_beads,development
cc78a42c6dc0,three_finger_bent,development
cd47e798e2ae,three_finger_bent,development
cdb921f24eb1,orchid_palm,development
cdce0ff32f24,flower_pinch,development
ce5ef86c7330,flower_pinch,development
cf2d104edd27,orchid_finger,development
cf4a676b5324,deer_horn,development
d0e025e85f60,prayer_beads,development
d1ddba246804,orchid_palm,development
d282dc86376e,three_finger_bent,development
d34423f0890a,orchid_palm,development
d3e4d9834acb,orchid_finger,development
d42c53f263c8,orchid_finger,development
d455c87163f4,deer_horn,development
d5692b1ff000,three_finger_bent,development
d5922c1146c7,deer_horn,development
d6c6fae37fe5,deer_horn,development
d714acc9b9f2,prayer_beads,development
d78701c28f85,three_finger_bent,development
d7d0deef648a,orchid_palm,development
da1ffae5f0a2,orchid_palm,development
dafc6d4beae7,orchid_palm,development
db135c9eec51,prayer_beads,development
db282ca439ed,flower_pinch,development
db39c266a790,deer_horn,development
db70aea60cf4,flower_pinch,development
db9729894815,orchid_palm,development
dc1412571fa7,prayer_beads,development
dd7fb6f24a48,deer_horn,development
de1b27901fcd,flower_pinch,development
df281fd4d6c9,deer_horn,development
dff2e96f8ae8,deer_horn,development
e00aac6a3046,three_finger_bent,development
e078f346d502,three_finger_bent,development
e17fcacd002c,prayer_beads,development
e1a23abc119d,deer_horn,development
e1f91dcfe69d,three_finger_bent,development
e2d391c756d3,prayer_beads,development
e2dfbd47d619,orchid_palm,development
e35dc6af27b7,deer_horn,development
e37d11d914db,three_finger_bent,development
e383fe6f8e3c,orchid_finger,development
e477493e71b7,orchid_finger,development
e47cab926107,three_finger_bent,development
e49a32eb1560,prayer_beads,development
e4a25b86c09f,orchid_finger,development
e635b04f95b4,orchid_finger,development
e641f135d028,orchid_palm,development
e649d8e33325,deer_horn,development
e67852a203b2,prayer_beads,development
e6caf1c42e89,orchid_palm,development
e73522e35522,orchid_finger,development
e7bd80074a35,flower_pinch,development
e83978ff4839,flower_pinch,development
e98094963e55,flower_pinch,development
ea4c18ea28b7,three_finger_bent,development
ea4efbd686b9,deer_horn,development
ea9b0c52712b,orchid_finger,development
ead22ed8d1dd,orchid_finger,development
eae2b467b678,three_finger_bent,development
eae98ad1ab96,deer_horn,development
ec805aeab0cb,deer_horn,development
ed4fbd3e4769,three_finger_bent,development
ee37db102cde,three_finger_bent,development
ee6710fadfd3,orchid_finger,development
ee73f970fb19,prayer_beads,development
ee7a7b5dd1d7,prayer_beads,development
ee8be4262526,orchid_palm,development
eeaedbdb7f0b,prayer_beads,development
eedcd7c58526,deer_horn,development
eee4b32d4fd5,three_finger_bent,development
ef8799305102,flower_pinch,development
f03cc7c2c2f4,prayer_beads,development
f0b24a58900a,prayer_beads,development
f0eea42356eb,prayer_beads,development
f1830d7435e4,deer_horn,development
f1c7f228cedd,three_finger_bent,development
f25e3cbe53c1,deer_horn,development
f26e45eb7249,prayer_beads,development
f2b323c2533c,prayer_beads,development
f2f5ee4d38b5,three_finger_bent,development
f3f4bc4b790b,prayer_beads,development
f406413c3d58,prayer_beads,development
f43069368ec6,orchid_finger,development
f499a3f8c193,prayer_beads,development
f631b47141c7,orchid_finger,development
f7c4c9d9223b,three_finger_bent,development
f85ee5c0252c,flower_pinch,development
f8c41f8182b0,orchid_finger,development
f94a82f53977,flower_pinch,development
f9c70a8fc4e4,orchid_palm,development
fbcd89dd30a3,prayer_beads,development
fbd9a6c1e22c,orchid_finger,development
fc3e749cb1f3,flower_pinch,development
fccdc04e24f5,prayer_beads,development
fce4f9cebbe7,prayer_beads,development
fe0830cc7db3,three_finger_bent,development
fe356bb47a53,orchid_palm,development
fe91df670e61,prayer_beads,development
ff214b889ee0,three_finger_bent,development
0078bb88405b,prayer_beads,test
010a5011bcfd,orchid_finger,test
05c116dc4ea7,three_finger_bent,test
088859eb0563,deer_horn,test
0945e8accdd1,deer_horn,test
0c54bf5d9c80,flower_pinch,test
0e3e9a68b1ee,flower_pinch,test
0ea7ad063ed0,flower_pinch,test
13223bfbd5ee,flower_pinch,test
15871d67f593,three_finger_bent,test
17360e901685,flower_pinch,test
224a51a1dd12,orchid_palm,test
239169458cfc,prayer_beads,test
2898570d92e6,three_finger_bent,test
29d318a0a47c,prayer_beads,test
2af4774187f6,prayer_beads,test
35a9c396f1a4,orchid_finger,test
36f8da0a0c37,orchid_palm,test
3b46b5044d7d,prayer_beads,test
3bc9481d2495,orchid_palm,test
3ee7e4fe98c4,three_finger_bent,test
418c8916b65e,orchid_palm,test
41db104dde92,orchid_finger,test
425e947b303e,deer_horn,test
4a1b0f7cb862,orchid_finger,test
4ad79a00344c,orchid_finger,test
4eb3a90dac1b,three_finger_bent,test
4f2b5b9edc58,flower_pinch,test
5076fc9a1a84,orchid_finger,test
50c16ac8e654,deer_horn,test
52f13c73e616,deer_horn,test
53bc9d5f7ebc,prayer_beads,test
55f3899121d9,orchid_palm,test
5bee273a53c9,orchid_palm,test
68c1be8ed843,prayer_beads,test
6a9f2004d7e9,three_finger_bent,test
6e0825e4309a,flower_pinch,test
6ef7848c1559,three_finger_bent,test
70915ba8c98c,flower_pinch,test
78df284ad35b,prayer_beads,test
7d00828615b5,orchid_finger,test
7e9d9bde7c38,prayer_beads,test
808e845587ac,deer_horn,test
823e5b66cdc3,deer_horn,test
8255189f725d,prayer_beads,test
855c535c6a77,orchid_palm,test
885e68b19437,orchid_palm,test
8c56b18ab337,prayer_beads,test
8cdafa911e69,orchid_palm,test
8f332720276f,orchid_finger,test
8fd89d0ace39,orchid_palm,test
90f1a984a449,orchid_palm,test
9200d2d93b19,flower_pinch,test
92ec2d35b523,prayer_beads,test
93e7d139d98d,prayer_beads,test
98c96afd8e2f,deer_horn,test
99315e5eaef4,deer_horn,test
9a918862c434,three_finger_bent,test
9aa50ec1efaa,three_finger_bent,test
9b9c00604de9,orchid_palm,test
9c98d74e67ff,prayer_beads,test
9e82bd60bcff,orchid_finger,test
a608ba06813c,orchid_finger,test
a6deadfbe02c,three_finger_bent,test
ab3d7a2c11b4,orchid_palm,test
ad6b689f1d87,deer_horn,test
ad9e732b29b2,prayer_beads,test
af36849e1bf1,flower_pinch,test
b0ab67dbfd24,three_finger_bent,test
b14f304bea6c,orchid_palm,test
b1d9b9fd9b47,three_finger_bent,test
b4586f6ff52c,orchid_palm,test
b7495fa948df,orchid_palm,test
b7755c98f813,deer_horn,test
b805d106eb4c,orchid_finger,test
b84c025efb8c,flower_pinch,test
be4837217a68,orchid_palm,test
bec0e0714be5,three_finger_bent,test
c17a0b2ed916,orchid_finger,test
c2467c682e7e,flower_pinch,test
c2a6c80f6451,deer_horn,test
cc53d590d185,orchid_finger,test
cdb90f5b9fec,deer_horn,test
cdc106a2c6e5,deer_horn,test
cddcaa7ad5fd,deer_horn,test
cf06bd8e63b0,prayer_beads,test
d1412a35214d,three_finger_bent,test
d1f605f1fcc9,flower_pinch,test
d2ada17068ed,orchid_palm,test
d2b4b7f80256,deer_horn,test
d3cc18ceb43b,deer_horn,test
d63635c1356e,three_finger_bent,test
d750700162fe,three_finger_bent,test
d9e4eb5486f3,flower_pinch,test
dd960d56ba2e,orchid_palm,test
df438784161c,orchid_finger,test
e02d0ba05950,orchid_finger,test
e0c87d157b8f,flower_pinch,test
e0cd28478a3a,orchid_palm,test
e1fc3dd80451,orchid_palm,test
e2064c38a923,orchid_palm,test
e3051e08aa18,flower_pinch,test
e30742f7f077,orchid_finger,test
e705d6b681c2,deer_horn,test
ea0777b243d8,orchid_finger,test
ea3497d6cef4,orchid_finger,test
eea8808072e4,three_finger_bent,test
ef78d436972e,flower_pinch,test
f26082036e3f,prayer_beads,test
f286e3bd08ff,flower_pinch,test
f2e413cd96f3,deer_horn,test
f35e0605c235,three_finger_bent,test
f6e089c6ee0b,flower_pinch,test
fd6be5c6b2e3,prayer_beads,test
